Stock_Take_Transaction_ID,ST_Year,Material_Item_ID,Stock_Take_Comment,Material_Length_Measured_m,Length_Measured_Indicator,Material_Width_Measured_m,Width_Measured_Indicator,Material_Full_Units_Counted,Full_Units_Counted_Indicator,Material_Quantity_Scrapped,Material_Scrapped_Indicator,Material_Unit_Price_incl_VAT,Unit_Price_Available_Indicator,VAT_Decimal,VAT_Percentage,Material_Source_Quantity_on_Hand_Value_excl_VAT,Stock_Take_Date_Key,Material_Item_Key,Material_Item_Standard_Length_mm,Material_Item_Standard_Width_or_Diameter_mm,Material_Item_Quantity_Unit_of_Measure,Stock_Take_Indicators_Key,Import_Action,Effective_Date,IBPT_ID,Material_Unit_Price_excl_VAT,Material_Quantity_Counted,Material_Quantity_on_Hand,Material_Value_Scrapped_excl_VAT,Material_Value_on_Hand_excl_VAT,ErrorCode,ErrorColumn,ErrorDescription
ST2021142,2021,BRS00038,*None,2.685,Length measured,,No width measured,,No full units counted,,No material scrapped,1200.00,Unit price available,.14,14%,2826.3157890000002,20210101,142,-1.00,45.00,m,1,Insert,2021/12/01,9,1052.6315789473683,2.685000000000000,2.6850000000000001,0,2826.3157894736842,-1071607683,0,The data value violates integrity constraints.

ST2021143,2021,BRS00039,*None,1.965,Length measured,,No width measured,,No full units counted,,No material scrapped,1581.56,Unit price available,.14,14%,2726.1100000000001,20210101,143,-1.00,50.00,m,1,Insert,2021/12/01,9,1387.3333333333333,1.965000000000000,1.9650000000000001,0,2726.1100000000001,-1071607683,0,The data value violates integrity constraints.

ST2021144,2021,MST00060,*None,8.435,Length measured,,No width measured,,No full units counted,,No material scrapped,3.68,Unit price available,.14,14%,27.228771930000001,20210101,378,-1.00,6.00,m,1,Insert,2021/12/01,9,3.2280701754385963,8.435000000000000,8.4350000000000005,0,27.228771929824561,-1071607683,0,The data value violates integrity constraints.

ST2021145,2021,MST00061,*None,.000,Length measured,,No width measured,,No full units counted,,No material scrapped,7.71,Unit price available,.14,14%,0,20210101,379,-1.00,8.00,m,1,Insert,2021/12/01,9,6.7631578947368425,.000000000000000,0,0,0,-1071607683,0,The data value violates integrity constraints.

ST2021146,2021,MST00062,*None,36.180,Length measured,,No width measured,,No full units counted,,No material scrapped,11.68,Unit price available,.14,14%,370.68631579999999,20210101,380,-1.00,10.00,m,1,Insert,2021/12/01,9,10.245614035087719,36.180000000000000,36.18,0,370.68631578947367,-1071607683,0,The data value violates integrity constraints.

ST2021147,2021,MST00063,*None,2.395,Length measured,,No width measured,,No full units counted,,No material scrapped,16.95,Unit price available,.14,14%,35.609868419999998,20210101,381,-1.00,12.00,m,1,Insert,2021/12/01,9,14.868421052631579,2.395000000000000,2.395,0,35.609868421052632,-1071607683,0,The data value violates integrity constraints.

ST2021148,2021,MST00064,*None,6.000,Length measured,,No width measured,,No full units counted,,No material scrapped,30.06,Unit price available,.14,14%,158.2105263,20210101,693,-1.00,20.00,m,1,Insert,2021/12/01,9,26.368421052631579,6.000000000000000,6,0,158.21052631578948,-1071607683,0,The data value violates integrity constraints.

ST2021149,2021,PTL00001,*None,2.280,Length measured,,No width measured,,No full units counted,,No material scrapped,53.12,Unit price available,.14,14%,106.23999999999999,20210101,519,-1.00,20.00,m,1,Insert,2021/12/01,9,46.596491228070178,2.280000000000000,2.2799999999999998,0,106.23999999999999,-1071607683,0,The data value violates integrity constraints.

ST202115,2021,MST00007,*None,.960,Length measured,,No width measured,,No full units counted,,No material scrapped,43.55,Unit price available,.14,14%,36.673684209999998,20210101,326,-1.00,40.00,m,1,Insert,2021/12/01,9,38.201754385964911,.960000000000000,0.95999999999999996,0,36.673684210526311,-1071607683,0,The data value violates integrity constraints.

ST2021150,2021,PTL00002,*None,1.165,Length measured,,No width measured,,No full units counted,,No material scrapped,82.21,Unit price available,.14,14%,84.012850880000002,20210101,520,-1.00,25.00,m,1,Insert,2021/12/01,9,72.114035087719301,1.165000000000000,1.165,0,84.012850877192989,-1071607683,0,The data value violates integrity constraints.

ST2021151,2021,NYL00001,*None,.975,Length measured,,No width measured,,No full units counted,,No material scrapped,430.75,Unit price available,.14,14%,368.40460530000001,20210101,443,-1.00,50.00,m,1,Insert,2021/12/01,9,377.85087719298247,.975000000000000,0.97499999999999998,0,368.40460526315792,-1071607683,0,The data value violates integrity constraints.

ST2021152,2021,PPL00001,*None,4.000,Length measured,,No width measured,,No full units counted,,No material scrapped,13.96,Unit price available,.14,14%,48.982456139999996,20210101,444,-1.00,10.00,m,1,Insert,2021/12/01,9,12.245614035087719,4.000000000000000,4,0,48.982456140350877,-1071607683,0,The data value violates integrity constraints.

